name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
By Stinessen (Snorre Stinessen Architecture),https://bystinessen.com,,,Norway,,Architecture,solo,,,cabins;nature;interiors,recent_award,8,"Named Best X-Small Firm (3–5 employees) at the 13th Architizer A+Awards; Manshausen and Malangen cabins are exactly the warm-minimal, nature-led work Armila renders best",Architizer A+Awards Best Firm winners
Reiulf Ramstad Arkitekter,https://reiulframstadarkitekter.com,firma@rra.no,+47 22 80 84 80,Norway,Oslo,Architecture,medium,,,,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
Helen & Hard,https://helenhard.no,hha@hha.no,+47 406 40 672,Norway,Oslo,Architecture,medium,,,urban-design,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
Jensen & Skodvin (JSA),https://jsa.no,office@jsa.no,+47 22 99 48 99,Norway,Oslo,Architecture,small,,,,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
Fabel Arkitekter,https://fabelark.no,firmapost@fabelark.no,+47 23 08 63 30,Norway,Oslo,Architecture,medium,,,,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
Lundhagem,https://lundhagem.no,info@lundhagem.no,,Norway,Oslo,Architecture,medium,,,,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
MIR (Render Studio),https://mir.no,post@mir.no,+47 55 31 19 00,Norway,Bergen,Visualization,medium,,,well-known-render-studio,,0,"Site is bot-blocked (403 to automated fetches) but is a well-known, established Norwegian archviz studio; MX-verified.",PT/BE/NO/ES lead list import - 2026-08-11
3D Estate,https://3destate.no,post@3destate.no,+47 22 00 00 00,Norway,Oslo,Visualization,small,,,,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
BOGL Landscape,https://bogl.no,post@bogl.no,+47 22 42 52 00,Norway,Oslo,Architecture,medium,,,landscape;urban-design,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
Snohetta,https://snohetta.com,contact@snohetta.com,+47 24 15 60 60,Norway,Oslo,Architecture,large,,,globally-iconic;urban-design,,0,"Site reachable (200); MX-verified. Large firm, kept per Milad's instruction to include large companies tagged as such.",PT/BE/NO/ES lead list import - 2026-08-11
A-lab,https://a-lab.no,post@a-lab.no,+47 23 28 47 00,Norway,Oslo,Architecture,large,,,urban-design,,0,Site reachable (200); MX-verified.,PT/BE/NO/ES lead list import - 2026-08-11
