name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
K-Studio,https://k-studio.gr,,,Greece,Athens,Architecture,medium,,,contact-form-only,no_inhouse,4,Athens architecture/design studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
A&M Architects,https://am-architects.com,info@am-architects.com,+30 210 825 8950,Greece,Athens,Architecture,medium,,,,no_inhouse,3,Athens architecture practice with published email; MX verified.,Prepared list review 2026-08-11
Potiropoulos D+L Architects,https://potiropoulos.gr,info@potiropoulos.gr,+30 210 747 0305,Greece,Athens,Architecture,medium,,,,no_inhouse,4,Athens architecture practice with published email; MX verified.,Prepared list review 2026-08-11
Alexandra Kalliri & Associates,https://kalliri.com,akalliri@tee.gr,+30 210 361 2958,Greece,Athens,Architecture,small,,,,no_inhouse,4,"Small Athens practice; email via Technical Chamber of Greece (tee.gr), MX verified.",Prepared list review 2026-08-11
Mykonos Architects,https://mykonos-architects.gr,,+30 2289 077 111,Greece,Mykonos,Architecture,medium,,,contact-form-only,no_inhouse,5,Mykonos-based architecture studio; luxury island projects; contact via website form only.,Prepared list review 2026-08-11
Aristides Dallas Architects,https://aristidesdallas.gr,,,Greece,Athens/Tinos,Architecture,small,,,contact-form-only;hospitality,no_inhouse,6,"Athens/Tinos studio focused on architecture and hospitality projects; contact via website form only.",Prepared list review 2026-08-11
DECA Architecture,https://deca.gr,,,Greece,Athens,Architecture,small,,,contact-form-only;research,no_inhouse,5,Athens research-driven architecture studio; site healthy; contact via website form only.,Prepared list review 2026-08-11
A2G Architects,https://a2g.gr,,,Greece,Athens,Architecture,medium,,,contact-form-only,no_inhouse,3,Athens architecture practice; site healthy; contact via website form only.,Prepared list review 2026-08-11
ACRM S.A.,https://acrm.gr,,,Greece,Athens,Architecture,large,,,contact-form-only;engineering,,2,"Large Athens architecture/engineering firm; site healthy; contact via website form only.",Prepared list review 2026-08-11
3NK Engineers & Architects,https://3nk.gr,,,Greece,Athens,Architecture,medium,,,contact-form-only;engineering,no_inhouse,3,Athens architecture/engineering practice; site healthy; contact via website form only.,Prepared list review 2026-08-11
Lamda Development,https://lamda.gr,,,Greece,Athens,Real Estate,large,,,contact-form-only;developer,new_project,6,"Major Greek real estate developer (incl. Ellinikon mega-project); site healthy; contact via website form only.",Prepared list review 2026-08-11
DIMAND Development,https://dimand.gr,,,Greece,Athens,Real Estate,medium,,,contact-form-only;developer,new_project,5,Athens real estate developer; site healthy; contact via website form only.,Prepared list review 2026-08-11
Prodea Investments,https://prodea.gr,,,Greece,Athens,Real Estate,large,,,contact-form-only;reit,,3,Large Greek REIT/investor; site healthy; contact via website form only.,Prepared list review 2026-08-11
