name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
RVI Architects and Interior Designers,https://www.rvi.design,enquiry@rvi.design,+968 24 616 854,Oman,Muscat,Interior Design,medium,,,design-build;fitout;turnkey,,3,"Design-and-build firm delivering turnkey architecture, interior design and fit-out across Oman and the GCC for over a decade; offices in Oman, China, Tanzania and Bangkok",WebSearch Muscat architecture and interior studio search
Al Meedania Engineering Consultancy,https://www.meedania.com,info@meedania.com,+968 91 401 325,Oman,Muscat,Architecture,small,,,engineering-consulting;100%-omani,,2,"29+ years in engineering consultancy with 100% Omani management; architectural design, interiors, facades and project supervision",Arabic-language search: مكتب استشارات هندسية مسقط
Artistry Engineering Consultancy,https://www.artistryengineering.com,info@artistryengineering.com,,Oman,Muscat,Architecture,small,,,engineering-consulting;design,,2,15+ years in Oman with 200+ delivered projects; site's phone field is an unfilled XXXX placeholder so no number was written,Arabic-language search: مكتب استشارات هندسية مسقط
Nexus Design Studio,https://www.nexusdesignoman.com,,+968 93 931 517,Oman,Muscat,Architecture,small,,,architecture;interiors;landscape,,3,"Architecture, interior and landscape design studio in Muscat; no email published on the site",WebSearch Muscat architecture and interior studio search
Boom Architecture,https://boomarchit.om,,,Oman,Muscat,Architecture,small,,,omani-vernacular;contemporary,,4,"Omani practice writing about blending traditional Omani architecture with contemporary design; only a webmaster@ technical address is published, not a business contact",WebSearch Omani architecture search
Biva Design,https://bivadesign.com/,,,Oman,Muscat,Architecture,,,,architecture,,0,"From Milad's GCC research list; category recorded as ""Architecture / Design"". Website and email domain DNS/MX-verified.",Manual list - 2026-08-04 (GCC research)
Oxspring Associates,https://oxspringassociates.com/,,,Oman,Muscat,Architecture,,,,architecture;consultancy,,0,"From Milad's GCC research list; category recorded as ""Architecture / Design Consultancy"". Website and email domain DNS/MX-verified.",Manual list - 2026-08-04 (GCC research)
Amjaad Engineering & Contracting,https://amjaad.com/,,,Oman,Muscat,Construction,,,,architecture;engineering,,0,"From Milad's GCC research list; category recorded as ""Architecture / Engineering / Construction"". Website and email domain DNS/MX-verified.",Manual list - 2026-08-04 (GCC research)
KEO International Consultants,https://www.keoic.com/,,,Oman,Muscat,Architecture,,,,architecture;planning;engineering;masterplanning,,0,"From Milad's GCC research list; category recorded as ""Architecture / Engineering / Master Planning"". Website and email domain DNS/MX-verified.",Manual list - 2026-08-04 (GCC research)
Dar Al-Handasah,https://www.dar.com/,info@dar.com,,Oman,Oman,Architecture,large,,,architecture;planning;engineering,,0,"From Milad's GCC research list; category recorded as ""Architecture / Engineering / Planning"". Website and email domain DNS/MX-verified. Size: Dar Group comprises 19,000+ staff across 100+ countries.",Manual list - 2026-08-04 (GCC research)
Himam Property Development,https://www.himamoman.com/,info@himamoman.com,,Oman,Muscat,Real Estate,,,,development,,0,"From Milad's GCC research list; category recorded as ""Development / Sales / Property Management"". Website and email domain DNS/MX-verified.",Manual list - 2026-08-04 (GCC research)
