name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Salto Architects,https://salto.ee,info@salto.ee,,Estonia,Tallinn,Architecture,medium,,,urban,,5,Tallinn architecture/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Kavakava,https://kavakava.ee,kavakava@kavakava.ee,,Estonia,Tallinn,Architecture,small,,,urban,no_inhouse,5,Small-medium Tallinn architecture/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
B210,https://b210.ee,karin@b210.ee,,Estonia,Tallinn,Architecture,small,,,urban;interior,no_inhouse,5,Small-medium Tallinn architecture/urban/interior practice; site healthy; published named-contact email pre-verified.,Prepared list review 2026-08-11
VNDL Architecture,https://vndl.ee,info@vndl.ee,,Estonia,Tallinn,Architecture,small,,,landscape;3d,no_inhouse,5,Small-medium Tallinn architecture/landscape/3D practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Standup Architecture,https://standup.ee,info@standup.ee,,Estonia,Tallinn,Architecture,small,,,interior;landscape;vr,no_inhouse,6,Small-medium Tallinn architecture/interior/landscape/VR practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Tartu Arhitektuuribyroo,https://arhpro.ee,arhpro@arhpro.ee,,Estonia,Tartu,Architecture,medium,,,urban,,4,Tartu architecture/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
RTG Projektbyroo,https://rtgprojekt.ee,info@rtgprojekt.ee,,Estonia,Tartu / Tallinn,Architecture,medium,,,engineering,,3,Tartu/Tallinn architecture/engineering practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Kauss Architecture,https://kauss.ee,info@kauss.ee,,Estonia,Tallinn,Architecture,small,,,interior,no_inhouse,5,Small-medium Tallinn architecture/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Vunk Agency,https://vunkagency.ee,info@vunkagency.ee,,Estonia,Tallinn,Visualization,solo,,,archviz;3d;real-estate-marketing,no_inhouse,6,"Small Tallinn archviz/3D/real estate marketing studio; site healthy; published email pre-verified. Included per standing rule: arch-viz studios are leads, not competitors.",Prepared list review 2026-08-11
LightRay,https://lightray.ee,veronika@lightray.ee,,Estonia,Tallinn,Visualization,small,,,archviz;cgi;animation,no_inhouse,6,Small-medium Tallinn archviz/CGI/animation studio; site healthy; published named-contact email pre-verified.,Prepared list review 2026-08-11
Visible3D,https://visible.ee,info@visible.ee,,Estonia,Estonia,Visualization,small,,,archviz;animation,no_inhouse,5,Small-medium Estonian archviz/animation studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ULU Visual,https://uluvisual.com,mihkel@uluvisual.com,,Estonia,Estonia,Visualization,solo,,,archviz;interior;360,no_inhouse,6,Small Estonian archviz/interior/360 studio; site healthy; published named-contact email pre-verified.,Prepared list review 2026-08-11
3DRender.ee,https://3drender.ee,hello@3drender.ee,,Estonia,Tallinn,Visualization,small,,,archviz;rendering,no_inhouse,6,Small-medium Tallinn archviz/rendering studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Pro Kapital,https://prokapital.ee,prokapital@prokapital.ee,,Estonia,Tallinn,Real Estate,large,,,developer,new_project,3,Large Tallinn real estate development firm; site healthy; published email pre-verified.,Prepared list review 2026-08-11
KUU Arhitektid,https://kuu.ee,info@kuu.ee,+3725113300,Estonia,Tallinn,Architecture,small,,,architecture,no_inhouse,4,"Small Tallinn architecture studio founded 2011 by three architects; site healthy; published email pre-verified.",WebSearch contact sweep
Arhitektibüroo Emil Urbel,https://emilurbel.ee,,+3726616250,Estonia,Tallinn,Architecture,small,,,architecture,no_inhouse,3,"Small named-founder Tallinn architecture practice; only personal mail.ee address found, not company domain, so left blank.",WebSearch contact sweep
DAGOpen,https://dagopen.ee,info@dagopen.ee,+3725229032,Estonia,Tallinn,Architecture,small,,,architecture;interior,no_inhouse,4,"Tallinn architecture bureau with 8 architects and 2 interior architects, no in-house 3D team found; site healthy; published email pre-verified.",WebSearch contact sweep
LUMIA,https://lumia.ee,lumia@lumia.ee,,Estonia,Tallinn,Architecture,small,,,architecture;competition,no_inhouse,5,"Small Tallinn architecture studio (rebrand of A+ Arhitektid), recently competed on Estonian Natural History Museum international team; site healthy; published email pre-verified.",WebSearch contact sweep
3+1 Architects,https://threeplusone.ee,mail@threeplusone.ee,+3726279260,Estonia,Tallinn,Architecture,small,,,architecture;landmark,no_inhouse,4,"Established Tallinn architecture practice (Pärnu Central Library); site healthy; published email pre-verified.",WebSearch contact sweep
T43 Sisearhitektid,https://t43.ee,hello@t43.ee,+3725261543,Estonia,Tallinn,Interior Design,small,,https://www.instagram.com/t43_sisearhitektid/,interior;archviz,no_inhouse;active_social,6,"Small Tallinn interior architecture studio with active Instagram; named-contact emails also published; site healthy.",WebSearch contact sweep
Molumba,https://molumba.com,office@molumba.com,+37256632521,Estonia,Tallinn,Architecture,small,,,architecture;interior;landscape;heritage,no_inhouse,6,"Small all-around Tallinn architecture office covering architecture/interior/landscape/heritage, nominated for Estonian Interior Architects annual award 2025 and 2022; site healthy.",Eesti Sisearhitektide Liit 2025 award nominees
Stuudio TÄNA,https://xn--stuudiotna-x5a.ee,stuudiot2na@gmail.com,+37254553015,Estonia,Tallinn,Interior Design,small,,,interior,recent_award;no_inhouse,5,"Small Tallinn interior architecture studio nominated for Eesti Sisearhitektide Liidu aastapreemia 2025.",Eesti Sisearhitektide Liit 2025 award nominees
Lävi Sisearhitektid,https://lavi.ee,tere@lavi.ee,+37256488013,Estonia,Tallinn,Interior Design,small,,,interior,no_inhouse,5,"Small Tallinn interior architecture bureau offering full interior solutions, was recently hiring an interior architect; site healthy; published email pre-verified.",WebSearch contact sweep
ArtAku Sisearhitektuuribüroo,https://artaku.ee,artaku@artaku.ee,+3726805440,Estonia,Tallinn,Interior Design,small,,,interior,no_inhouse,5,"Small Tallinn interior architecture bureau; site healthy; published email pre-verified.",WebSearch contact sweep
Väli,https://vma.ee,info@vma.ee,+3725170226,Estonia,Tallinn,Architecture,small,,,landscape,no_inhouse,4,"Small Tallinn landscape architecture practice, member of Eesti Maastikuarhitektide Liit; site healthy; published email pre-verified.",Eesti Maastikuarhitektide Liit member directory
Endover Kinnisvara,https://endover.ee,endover@endover.ee,+3726660620,Estonia,Tallinn,Real Estate,large,,,developer,new_project,3,"Estonia's largest residential real estate developer (founded 1995), multiple projects due end of 2026; site healthy; published email pre-verified.",WebSearch contact sweep
