name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
UhlÃ­k architekti,https://www.uhlikarchitekti.cz,info@uhlikarchitekti.cz,+420 220 805 595,Czech Republic,Prague,Architecture,small,,,,,0,"Studio site lists U akademie 11, Praha 7; residential and cultural projects",Hunt Czechia 2026-09 Architizer + Czech web
A8000 (Atelier 8000),https://www.atelier8000.cz,atelier.praha@atelier8000.cz,+420 224 422 411,Czech Republic,Prague,Architecture,medium,,,,,0,"Architectural and engineering firm, offices Praha and Ceske Budejovice",Hunt Czechia 2026-09 Architizer + Czech web
Martin Cenek Architecture,https://www.martincenek.com,mail@martincenek.com,+420 603 475 153,Czech Republic,Prague,Architecture,small,,,,,0,"Studio established 2008 in Prague, sustainable residential design",Hunt Czechia 2026-09 Architizer + Czech web
Petr Hajek Architekti,https://www.hajekarchitekti.cz,hajek@hajekarchitekti.cz,+420 737 239 672,Czech Republic,Prague,Architecture,small,,,,,0,"Studio site, Graficka 20 Praha 5; cultural and public buildings",Hunt Czechia 2026-09 Architizer + Czech web
Atelier 111 architekti,https://www.atelier111.cz,info@atelier111.cz,+420 775 046 746,Czech Republic,Prague,Architecture,small,,,,recent_award,3,"Won main Czech Architecture Prize 2022 for Dum na Kozine (Jiri & Barbora Weinzettl)",Hunt Czechia 2026-09 Architizer + Czech web
CHYBIK + KRISTOF,https://www.chybik-kristof.com,,,Czech Republic,Prague,Architecture,medium,,,,,0,"Practice founded 2010, 50+ team, offices Prague/Brno/Bratislava",Hunt Czechia 2026-09 Architizer + Czech web
Aulik Fiser architekti,https://www.afarch.cz,afarch@afarch.cz,+420 251 560 181,Czech Republic,Prague,Architecture,medium,,,,,0,"Office for urbanism, administrative and residential buildings; Na Vaclavce 3a Praha 5",Hunt Czechia 2026-09 Architizer + Czech web
Projektil architekti,https://www.projektil.cz,architekti@projektil.cz,+420 222 365 000,Czech Republic,Prague,Architecture,small,,,,,0,"Studio site, Malatova 13 Praha 5; public buildings, libraries",Hunt Czechia 2026-09 Architizer + Czech web
Formafatal,https://www.formafatal.cz,formafatal@formafatal.cz,+420 776 294 110,Czech Republic,Prague,Interior Design,small,,,,,3,"Creative studio for architecture, interior design, exhibition and product design; Jilska 4 Praha 1",Hunt Czechia 2026-09 Architizer + Czech web
mar.s architects,https://marsarchitects.cz,contact@marsarchitects.cz,,Czech Republic,Prague,Architecture,small,,https://www.instagram.com/mar.s_architects,,,0,"Studio site, Delnicka 27 Praha 7",Hunt Czechia 2026-09 Architizer + Czech web
