name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
MO_studio,https://mostudio.sk,info@mostudio.sk,,Slovakia,Kosice,Architecture,solo,,,interior,no_inhouse,4,Small Kosice architecture/interior studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
STRUCTURE.ARCH,https://structurearch.sk,info@structurearch.sk,,Slovakia,Bratislava,Architecture,small,,,interior,no_inhouse,4,Small-medium Bratislava architecture/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
IURIS Group,https://iuris.sk,iuris@iuris.sk,,Slovakia,Bratislava,Real Estate,medium,,,investment,,3,Bratislava real estate/investment firm; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ARCHIP,https://archip.eu,,,Slovakia,Bratislava,Architecture,medium,,,contact-form-only;urban,,4,"Bratislava architecture/urban practice; site returns 403 to automated fetch (bot-blocked), otherwise reachable; contact via website form.",Prepared list deep search 2026-08-11
SLLA Architects,https://slla.sk,office@slla.sk,,Slovakia,Bratislava,Architecture,medium,,,urban,,4,Bratislava architecture/urban practice; site healthy; email found via deep search.,Prepared list deep search 2026-08-11
GutGut,https://gutgut.sk,,,Slovakia,Bratislava,Architecture,medium,,,contact-form-only;urban,,5,"Bratislava architecture/urban practice; site healthy; no email found via deep search, contact via website form.",Prepared list deep search 2026-08-11
What Architects,https://whatarchitects.com,info@whatarchitects.com,,Slovakia,Bratislava,Architecture,small,,,interior,no_inhouse,5,Small-medium Bratislava architecture/interior practice; site healthy; email found via deep search.,Prepared list deep search 2026-08-11
ZEROZERO,https://zerozero.sk,studio@zerozero.sk,,Slovakia,Bratislava,Architecture,small,,,urban,no_inhouse,5,Small-medium Bratislava architecture/urban practice; site healthy; email found via deep search.,Prepared list deep search 2026-08-11
Atelier 3M,https://atelier3m.sk,office@atelier3m.sk,,Slovakia,Bratislava,Architecture,small,,,,no_inhouse,4,Small-medium Bratislava architecture practice; site healthy; email found via deep search.,Prepared list deep search 2026-08-11
Pauliny Hovorka Architects,https://pha.sk,,,Slovakia,Banska Bystrica,Architecture,medium,,,contact-form-only;landscape,,4,"Banska Bystrica architecture/landscape practice; site healthy; no email found via deep search, contact via website form.",Prepared list deep search 2026-08-11
RAN,https://ran.sk,,,Slovakia,Kosice,Architecture,small,,,contact-form-only;interior;public-space,no_inhouse,4,"Small-medium Kosice architecture/interior/public space studio; site healthy; no email found via deep search (phone/address only), contact via website form.",Prepared list deep search 2026-08-11
AF ARCH,https://afarch.sk,info.afarch@gmail.com,,Slovakia,Kosice,Architecture,solo,,,interior,no_inhouse,4,"Small Kosice architecture/interior practice; site healthy; email confirmed via deep search of their own site (published contact, though on gmail).",Prepared list deep search 2026-08-11
Larch,https://larch.sk,info.larchi@gmail.com,,Slovakia,Kosice,Architecture,solo,,,interior;visualization,no_inhouse,5,"Small Kosice architecture/interior/visualization practice; site healthy; email confirmed via deep search of their own site (published contact, though on gmail).",Prepared list deep search 2026-08-11
Architekti Sebo Lichy,https://sebolichy.sk,,,Slovakia,Bratislava,Architecture,medium,,,contact-form-only;urban,,4,"Bratislava architecture/urban practice; site returns 403 to automated fetch (bot-blocked), otherwise reachable; contact via website form.",Prepared list deep search 2026-08-11
PANTOGRAPH,https://pantograph.sk,,,Slovakia,Bratislava,Architecture,medium,,,contact-form-only;urban,,4,"Bratislava architecture/urban practice; site healthy; no email found via deep search, contact via website form.",Prepared list deep search 2026-08-11
