name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
ALA Architects,https://ala.fi,info@ala.fi,,Finland,Helsinki,Architecture,medium,,,interior;urban,,5,Helsinki architecture/interior/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
JKMM Architects,https://jkmm.fi,info@jkmm.fi,,Finland,Helsinki,Architecture,large,,,interior;urban,,4,Large Helsinki architecture/interior/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
PES-Architects,https://pesark.com,architects@pesark.com,,Finland,Helsinki,Architecture,large,,,interior;urban,,4,"Large Helsinki architecture/interior/urban firm (incl. dedicated PES Interior division, interior@pesark.com); site healthy; published email pre-verified.",Prepared list review 2026-08-11
Joanna Laajisto Studio,https://joannalaajisto.com,info@joannalaajisto.com,,Finland,Helsinki,Interior Design,solo,,,hospitality,no_inhouse,6,Small Helsinki interior/hospitality design studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ORTRAUM Architects,https://ortraum.com,info@ortraum.com,,Finland,Helsinki,Architecture,solo,,,timber,no_inhouse,5,Small Helsinki timber architecture studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Modear,https://modear.fi,esa.jamsa@modear.fi,,Finland,Helsinki / Tampere / Turku,Visualization,small,,,archviz;3d;bim,no_inhouse,6,Multi-city Finnish archviz/3D/BIM studio; site healthy; published named-contact email pre-verified. Included per standing rule.,Prepared list review 2026-08-11
NVIZ,https://nviz.fi,hello@nviz.fi,,Finland,Helsinki,Visualization,solo,,,archviz;3d-rendering,no_inhouse,6,Small Helsinki archviz/3D rendering studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Studio Puisto,https://studiopuisto.fi,general@studiopuisto.fi,,Finland,Helsinki,Architecture,small,,,hospitality,no_inhouse,6,Small-medium Helsinki architecture/hospitality studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Arkkitehtitoimisto Forssi Oy,https://www.ark-forssi.fi,toimisto@ark-forssi.fi,010 219 6060,Finland,Tampere,Architecture,small,,,renovation,no_inhouse,3,"Tampere renovation-focused architecture office (korjausrakentaminen specialist)",WebSearch arkkitehtitoimisto Tampere lista
ARQ arkkitehdit,https://arq.fi,,040 703 2244,Finland,Tampere,Architecture,small,,,,no_inhouse,3,"Tampere architecture office formed from a merger of two ~40-year-old firms; only a person-format email placeholder shown, no specific address captured",WebSearch arkkitehtitoimisto Tampere lista
Tilatakomo,https://tilatakomo.fi,arkkitehtitoimisto@tilatakomo.fi,010 271 3400,Finland,Tampere,Architecture,small,,,,no_inhouse,4,Tampere architecture office,WebSearch arkkitehtitoimisto Tampere lista
Tähti-Set Oy,https://tahti-set.com,,+358 (0)3 3124 9000,Finland,Tampere / Helsinki,Architecture,medium,,,award-winning,recent_award,4,"Award-winning architecture office with offices in Tampere and Helsinki; only a person-format email placeholder shown, no specific address captured",WebSearch arkkitehtitoimisto Tampere lista
Turun Rakennussuunnittelu Oy,https://turunrakennussuunnittelu.fi,,+358 2 246 2750,Finland,Turku,Architecture,small,,,varsinais-suomi,no_inhouse,2,"Turku architecture/construction-design firm serving Turku, Raisio, Naantali, Kaarina and Varsinais-Suomi; no email published",WebSearch arkkitehtitoimisto Turku Oulu
Arosuo Arkkitehdit,https://arosuo.fi,,+358 40 5309790,Finland,Turku,Architecture,small,,,,no_inhouse,3,Turku-based architecture firm; no email published,WebSearch arkkitehtitoimisto Turku Oulu
Lukkaroinen Arkkitehdit,https://lukkaroinen.com,toimisto@lukkaroinen.fi,+358 8 888 3300,Finland,Oulu,Architecture,medium,,,interior;multi-city,,4,"Architecture and interior design firm with offices in Oulu, Helsinki, Turku and Kokkola",WebSearch arkkitehtitoimisto Turku Oulu
JK-arkkitehdit,https://jk-arkkitehdit.fi,ari.jarvinen@jk-arkkitehdit.fi,+358 40 843 1222,Finland,Oulu,Architecture,small,,,interior;competitions,recent_award,5,"Small Oulu architecture/interior-architecture firm with 32 competition awards and Finnish Association of Architects (ATL) membership",WebSearch arkkitehtitoimisto Turku Oulu
Arkkitehtitoimisto Adarte Design,http://www.adartedesign.com,adarte@luukku.com,0405521500,Finland,Tampere,Architecture,solo,,,,no_inhouse,3,"Tampere sole-practitioner architecture/design firm established 1994",WebSearch Adarte Design Tampere yhteystiedot
Ahonen & Kangasvieri,https://ark-ak.com,timo.ahonen@ark-ak.com,040 685 4554,Finland,Tampere,Architecture,small,,,residential;renovation,no_inhouse,4,"Tampere firm est. 2006, 11 staff, specializes in new residential construction and renovation design; named-contact email published",WebSearch Ahonen Kangasvieri arkkitehtitoimisto Tampere
Marika Sisustaa,https://www.marikasisustaa.fi,info@marikasisustaa.fi,+358407372422,Finland,Helsinki,Interior Design,solo,,,residential;commercial,no_inhouse,4,"Solo Helsinki-area interior designer serving homes, offices and commercial spaces",WebSearch sisustussuunnittelija toimisto Helsinki lista
Johanna Taskula Design,https://www.johannataskula.fi,,,Finland,Helsinki,Interior Design,solo,,,,no_inhouse,4,Helsinki/Espoo interior design practice; no email published in fetched content,WebSearch sisustussuunnittelija toimisto Helsinki lista
Sinne Room,https://sinneroom.fi,,,Finland,Helsinki / Espoo,Interior Design,solo,,,,no_inhouse,5,"Solo-run (Kati Kokljuschkin) Helsinki/Espoo interior design studio; no email published in fetched content",WebSearch sisustussuunnittelija toimisto Helsinki lista
Iloa360,https://www.iloa360.fi,heli@iloa360.fi,040 844 1464,Finland,Helsinki,Interior Design,solo,,,residential,no_inhouse,4,"Solo Helsinki interior design office (Heli Virtanen), 250+ completed projects since 2017",WebSearch sisustussuunnittelija toimisto Helsinki lista
Alessia Design,https://alessiadesign.fi,alessia.design@outlook.com,040 589 4205,Finland,Helsinki,Interior Design,solo,,,residential;commercial,no_inhouse,4,"Solo interior designer Katja Vinni serving Helsinki/Uusimaa, offers 3D sketches and material specs",WebSearch sisustussuunnittelija toimisto Helsinki lista
CA Design,https://cadesign.fi,carita@cadesign.fi,+358 45 316 3728,Finland,Helsinki / Espoo / Vantaa,Interior Design,solo,,,residential;renovation,no_inhouse,4,"Solo interior designer Carita Ahonen (Sisustussuunnittelija SI) offering full renovations and biophilic design",WebSearch sisustussuunnittelija toimisto Helsinki lista
Designveli,https://www.designveli.fi,info@designveli.fi,050 349 9026,Finland,Vantaa,Interior Design,small,,,retail;store-concept,no_inhouse,3,"Vantaa retail/store-concept design office, clients include Yamaha, Musti ja Mirri, Kesko, Onninen",WebSearch myymäläkonsepti retail design toimisto Suomi
Maven Spaces,https://www.mavenspaces.fi,info@mavenspaces.fi,+358 50 364 1142,Finland,Espoo,Interior Design,small,,,office;workplace,no_inhouse,3,"Uusimaa-region workplace/office interior design and organizational-development firm",WebSearch sisustusarkkitehti toimisto Espoo Vantaa
Bloomy Interiors,https://bloomyinteriors.fi,riikka@bloomyinteriors.fi,+358 505 938 170,Finland,Helsinki,Interior Design,solo,,,residential;styling,no_inhouse,4,"Solo Helsinki-area interior designer (Helsinki Design School) serving homes and small businesses",WebSearch sisustusarkkitehti toimisto Espoo Vantaa
Dejlig,https://www.dejlig.fi,tiina@dejlig.fi,040 737 0795,Finland,Helsinki,Interior Design,solo,,,residential;commercial;office,no_inhouse,4,"Solo interior designer Tiina Suhonen-Hautala, established 2016, serving Helsinki metro area",WebSearch sisustusarkkitehti toimisto Espoo Vantaa
Kaisa Kallatsa,https://www.kaisakallatsa.fi,kaisa@kaisakallatsa.fi,040 535 2240,Finland,Helsinki / Espoo / Vantaa,Interior Design,solo,,,residential;commercial;active_social,active_social,4,"Solo interior designer with active Facebook/Pinterest/Instagram presence",WebSearch sisustusarkkitehti toimisto Espoo Vantaa
Anna Koponen,https://annakoponen.fi,info@annakoponen.fi,+358 50 342 9045,Finland,Helsinki / Espoo,Interior Design,solo,,,residential;commercial,no_inhouse,4,"Solo interior designer serving Helsinki, Espoo, Kauniainen, Vantaa, Kirkkonummi and Siuntio",WebSearch sisustusarkkitehti toimisto Espoo Vantaa
