name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Meganom,https://meganom.team,mail@meganom.team,,Russia,Moscow,Architecture,medium,,,urban;interior,,5,Moscow architecture/urban/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Kleinewelt Architekten,https://kleinewelt.ru,welt@kleinewelt.ru,,Russia,Moscow,Architecture,medium,,,urban;interior,,4,Moscow architecture/urban/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
WOWHAUS,https://wowhaus.ru,info@wowhaus.ru,,Russia,Moscow,Architecture,medium,,,urban;landscape,active_social,5,"Moscow architecture/urban/landscape practice; site healthy (confirmed via WebFetch, active hiring/social); published email pre-verified.",Prepared list review 2026-08-11
APEX project,https://apex-project.ru,info@apex-project.ru,,Russia,Moscow,Architecture,large,,,engineering;interior,,3,Large Moscow architecture/engineering/interior firm; site healthy; published email pre-verified.,Prepared list review 2026-08-11
UNK project,http://unkproject.com,info@unk.ltd,,Russia,Moscow,Architecture,large,,,interior;urban,,3,"Large Moscow architecture/interior/urban firm; site reachable over HTTP, otherwise healthy; published email pre-verified.",Prepared list review 2026-08-11
Nowadays office,https://nowadaysoffice.com,mail@nowadaysoffice.com,,Russia,Moscow,Architecture,small,,,urban;landscape;interior,no_inhouse,5,Moscow architecture/urban/landscape/interior studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
CITIZENSTUDIO,https://citizenstud.io,citizenstudio.ab@gmail.com,,Russia,Moscow,Architecture,small,,,urban;landscape;art,no_inhouse,6,Moscow architecture/urban/landscape/art studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
OFFCON,https://offcon.ru,info@offcon.ru,,Russia,Moscow,Architecture,medium,,,office;interior;planning,,3,Moscow architecture/office/interior/planning practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
MORS,https://mors.team,info@morsarchitects.com,,Russia,Moscow,Architecture,small,,,interior;urban,no_inhouse,4,Moscow architecture/interior/urban studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ARXY,https://arxy.ru,info@arxy.ru,,Russia,Moscow,Architecture,medium,,,interior;3d,,4,Moscow architecture/interior/3D practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ArchGroup,https://arch-group.ru,info@arch-group.ru,,Russia,Moscow,Architecture,small,,,planning,no_inhouse,3,Moscow architecture/planning practice; site healthy (redirects); published email pre-verified.,Prepared list review 2026-08-11
GEOfORMA,https://abgf.ru,info@abgf.ru,,Russia,Moscow,Architecture,medium,,,urban;spatial-development,,4,"Moscow architecture/urban/spatial development practice; site reachable over HTTP, otherwise healthy; published email pre-verified.",Prepared list review 2026-08-11
Popov i arhitektory,https://popovarc.ru,info@popovarc.ru,,Russia,Moscow,Architecture,small,,,urban,no_inhouse,3,Moscow architecture/urban practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
