name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
PI Architects,https://www.piarchitects.sg,admin@piarchitects.sg,+65 6909 3102,Singapore,Singapore,Architecture,small,,,,no_inhouse,2,"Multi-disciplinary architecture and interior design practice founded 2017; boutique studio size fits outsourced rendering",WebSearch contact sweep
HYLA Architects,https://www.hyla.com.sg,admin@hyla.com.sg,+65 6324 2488,Singapore,Singapore,Architecture,small,,,,no_inhouse,3,"Award-winning boutique firm specialising in high-end residential projects",WebSearch contact sweep
Wallflower Architecture + Design,https://wallflower.com.sg,enquiry@wallflower.com.sg,+65 6297 6883,Singapore,Singapore,Architecture,small,,,,no_inhouse,3,"Boutique firm known for tasteful high-end residential houses",WebSearch contact sweep
RG Architects,https://www.rgarchitects.com.sg,,+65 6333 9686,Singapore,Singapore,Architecture,small,,,,no_inhouse,1,"Small studio grown from two-person practice since 1978 to a team of about 10",WebSearch boutique firms list
Lim Ai Tiong (LATO) Architects,https://www.latodesign.com,limaitiong@latodesign.com,62951847,Singapore,Singapore,Architecture,small,,,,no_inhouse,2,"Award-winning boutique architecture and interior design firm established 2001, member of SIA and IDCS",WebSearch contact sweep
Ming Architects,https://mingarchitects.com,,,Singapore,Singapore,Architecture,solo,,,,no_inhouse,3,"Design-focused practice run by principal Tan Cher Ming, specialising in contemporary residential homes",WebSearch boutique firms list
Guz Architects,https://guzarchitects.com,guz@guzarchitects.com,+65 6476 6110,Singapore,Singapore,Architecture,small,,,,no_inhouse,4,"Small award-winning tropical design practice with Singapore and UK offices",WebSearch contact sweep
ONG&ONG,https://www.group.ong-ong.com,info@ong-ong.com,+65 6258 8666,Singapore,Singapore,Architecture,large,,,,,0,"Established 1972 multi-disciplinary design group; large firm but may still lack overflow 3D capacity on specific projects",Archello 25 best architecture firms in Singapore
WOHA,https://woha.net,admin@woha.net,+65 6423 4555,Singapore,Singapore,Architecture,large,,,,,1,"Internationally recognised sustainable architecture practice; large firm, honest low outsourcing score",Archello 25 best architecture firms in Singapore
DP Architects,https://www.dpa.com.sg,dparchitects@dpa.com.sg,+65 6338 3988,Singapore,Singapore,Architecture,large,,,,,0,"Multi-disciplinary design group with about 1100 staff and 16 international offices",Archello 25 best architecture firms in Singapore
Free Space Intent (FSI),https://www.fsi.com.sg,enquiry@fsi.com.sg,+65 6392 8885,Singapore,Singapore,Interior Design,small,,@freespaceintent,,no_inhouse;active_social,2,"Full-service residential and commercial interior design firm established 1999",WebSearch interior firms list
EightyTwo,https://www.eightytwo.asia,hello@eightytwo.sg,+65 6908 2010,Singapore,Singapore,Interior Design,small,,,,no_inhouse,5,"Award-winning boutique studio creating high-end understated luxury interiors for residential and commercial projects internationally",WebSearch interior firms list
Artrend Design,https://artrend.com.sg,enquiry@artrend.com.sg,+65 6273 8488,Singapore,Singapore,Interior Design,small,,,,no_inhouse,1,"30-year interior design firm, over 12000 homes and 40000 sqm commercial space delivered",WebSearch interior firms list
DYEL Design,https://dyeldesign.com,enquiries@dyeldesign.com,+65 6227 1327,Singapore,Singapore,Interior Design,small,,,,no_inhouse,1,"Interior design consultancy incorporated 2005, over 15 years experience in commercial and residential projects",WebSearch interior firms list
Design 4 Space,https://design4space.com.sg,payalebar@design4space.com.sg,+65 6636 9863,Singapore,Singapore,Interior Design,medium,,,,,0,"Award-winning firm with multiple showrooms across Singapore serving residential, hospitality, corporate and retail markets",WebSearch interior firms list
Starry Homestead,https://starryhomestead.com,enquiry@starryhomestead.com,+65 6778 6866,Singapore,Singapore,Interior Design,small,,,,no_inhouse,2,"Award-winning firm with over a decade of experience across residential and commercial interiors",WebSearch interior firms list
Zoro Interior,https://zorointerior.com.sg,sales@zorointerior.com.sg,+65 8608 3715,Singapore,Singapore,Interior Design,small,,,,no_inhouse,0,"CaseTrust-accredited residential and commercial interior design and renovation contractor since 2009",WebSearch interior firms list
Interea,https://www.interea.sg,contact@interea.sg,+65 8098 7038,Singapore,Singapore,Interior Design,small,,,,no_inhouse,4,"Singapore F&B design-build authority for Michelin-star restaurants, cafes and bars, 30 years technical mastery",WebSearch F&B design studios
Social F+B by Design,https://socialfb.com,,,Singapore,Singapore,Interior Design,medium,,,,active_social,5,"Award-winning hospitality design studio with offices in Singapore, Dubai, Bangkok and Tokyo working with global brands like One&Only and Park Hyatt",WebSearch F&B design studios
R&S Design,https://rnsdesign.com.sg,,6591379186,Singapore,Singapore,Interior Design,small,,,,no_inhouse,2,"Restaurant renovation specialist focused on kitchen workflow and dining layout design for F&B brands",WebSearch F&B design studios
