name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
5468796 Architecture,https://5468796.ca,employment@5468796.ca,+1 204 480 8421,Canada,Winnipeg,Architecture,small,,https://www.facebook.com/546arch/,housing;experimental;award-winning,hiring_viz;recent_award,6,Advertising on Azure's job board; won two 2026 Governor General's Medals in Architecture (Veil House Winnipeg and Parkade of the Future Calgary) - only the employment inbox is published,Azure jobs board / Governor General's Medals 2026
Studio Paolo Ferrari,https://www.paoloferrari.com,info@paoloferrari.com,+1 416 536 1546,Canada,Toronto,Interior Design,small,,,interiors;hospitality;residential,hiring_viz,5,Advertising on Azure's job board; Campbell Avenue studio working across interiors and product,Azure jobs board
Design Workshop Architects,https://designworkshoparchitects.com,,,Canada,Toronto,Architecture,small,,,residential;commercial,hiring_viz,0,Advertising on Azure's job board; domain has no MX record so no email was written,Azure jobs board
Shim-Sutcliffe Architects,https://www.shim-sutcliffe.com,info@shimsut.com,+1 416 368 3892,Canada,Toronto,Architecture,small,,,residential;craft;landscape,recent_award,7,"Ace Hotel Toronto won a 2026 Governor General's Medal; Brigitte Shim and Howard Sutcliffe received the OAA Lifetime Design Achievement Award 2026. Email is on the shimsut.com domain, both MX-verified",Governor General's Medals 2026 / OAA Awards 2026
Patkau Architects,https://www.patkau.ca,info@patkau.ca,+1 604 683 7633,Canada,Vancouver,Architecture,small,https://ca.linkedin.com/company/patkau-architects,,residential;cultural;landscape,recent_award,7,Two 2026 Governor General's Medals - Arbour House in Victoria and Kìwekì Point in Ottawa,Governor General's Medals 2026
MacKay-Lyons Sweetapple Architects,https://www.mlsarchitects.ca,info@mlsarchitects.ca,+1 902 429 1867,Canada,Halifax,Architecture,small,https://ca.linkedin.com/company/mackay-lyons-sweetapple-architects,,residential;coastal;vernacular,recent_award,7,Hilltop Cottage in New Brunswick won a 2026 Governor General's Medal; practice known for stripped-back Atlantic coastal vernacular - close to Armila's warm-minimal register,Governor General's Medals 2026
LGA Architectural Partners,https://lga-ap.com,info@lga-ap.com,+1 416 203 7600,Canada,Toronto,Architecture,medium,,,social-impact;residential;adaptive-reuse,recent_award,5,Ulster House in Toronto won a 2026 Governor General's Medal,Governor General's Medals 2026
gh3*,https://www.gh3.ca,info@gh3.ca,+1 416 915 1791,Canada,Toronto,Architecture,small,,,public;landscape;infrastructure,recent_award,6,O-day'min Park Pavilion in Edmonton won a 2026 Governor General's Medal; practice works across architecture and landscape,Governor General's Medals 2026
Chevalier Morales,https://chevaliermorales.com,,,Canada,Montreal,Architecture,medium,,,cultural;libraries;public,recent_award,6,900 Saint-Jacques in Montreal won a 2026 Governor General's Medal; founded 2005 by Stephan Chevalier and Sergio Morales; no email surfaced,Governor General's Medals 2026
Ivy Studio,https://ivystudio.ca,ivy@ivystudio.ca,+1 514 963 3434,Canada,Montreal,Interior Design,small,,,commercial;retail;hospitality,recent_award,6,Named Emerging Talent in Architecture at the OAQ Awards of Excellence 2026 - a category specifically for young practices,OAQ Awards of Excellence 2026
la SHED architecture,https://www.lashedarchitecture.com,,+1 514 277 6897,Canada,Montreal,Architecture,small,,,residential;minimal;light,recent_award,7,"Project winner at the OAQ Awards of Excellence 2026; Duluth Est studio, known for pared-back light-led residential work; no email surfaced",OAQ Awards of Excellence 2026
RDHA (RDH Architects),https://www.rdharch.com,info@rdharch.com,+1 416 204 1399,Canada,Toronto,Architecture,small,,,public-realm;libraries;civic,recent_award,6,"Lindsay Boathouse (with VJAA) won a 2026 AIA National Design Award; founded 1919, one of Canada's oldest practices and winner of the 2018 RAIC Architectural Firm Award. Originally surfaced during a USA run - Toronto-based, so it belongs here",AIA National Design Awards 2026
Montgomery Sisam Architects,https://www.montgomerysisam.com,info@montgomerysisam.com,+1 416 364 8079,Canada,Toronto,Architecture,medium,,,social-infrastructure;housing;healthcare,recent_award,5,Two 2026 OAA Design Excellence Awards - Beaverton Heights Modular Transitional Housing and the Koffler Scientific Reserve Dining and Operations Centre,OAA Design Excellence Awards 2026
Teeple Architects,https://teeplearch.com,info@teeplearch.com,+1 416 598 0554,Canada,Toronto,Architecture,medium,,,education;cultural;sculptural,recent_award,5,"Architect of record on the Schwartz Reisman Innovation Campus at the University of Toronto, a 2026 OAA Design Excellence Award winner",OAA Design Excellence Awards 2026
Iredale Architecture,https://iredale.ca,architect@iredale.ca,+1 604 736 5581,Canada,Vancouver,Architecture,small,,,cultural;heritage;institutional,recent_award,5,"Co-architect on the Marianne and Edward Gibson Art Museum in Burnaby, a 2026 OAA Design Excellence Award winner; Water Street studio in Gastown",OAA Design Excellence Awards 2026
ZAS Architects,https://zasa.com,,,Canada,Toronto,Architecture,medium,,,civic;sustainable;institutional,recent_award,4,"Co-architect on the Toronto and Region Conservation Authority Headquarters, a 2026 OAA Design Excellence Award winner; no email surfaced",OAA Design Excellence Awards 2026
Hariri Pontarini Architects,https://hariripontarini.com,,,Canada,Toronto,Architecture,large,,,cultural;institutional;craft,recent_award,4,"Design architect on the Marianne and Edward Gibson Art Museum in Burnaby, a 2026 OAA Design Excellence Award winner - included at accurate size rather than discarded; no email surfaced",OAA Design Excellence Awards 2026
Diamond Schmitt Architects,https://dsai.ca,,,Canada,Toronto,Architecture,large,,,cultural;performing-arts;civic,recent_award,3,Carmen Corbasson Community Centre in Mississauga won a 2026 OAA Design Excellence Award - included at accurate size rather than discarded; no email surfaced,OAA Design Excellence Awards 2026
Janet Rosenberg & Studio,https://jrstudio.ca,,,Canada,Toronto,Architecture,medium,,,landscape;public-realm;urban-design,recent_award,5,"Co-designer with Patkau Architects on Kìwekì Point in Ottawa, a 2026 OAA Design Excellence Award winner; no email surfaced",OAA Design Excellence Awards 2026
KPMB Architects,https://www.kpmb.com,info@kpmb.com,+1 416 977 5104,Canada,Toronto,Architecture,medium,,,cultural;academic;civic,,6,King Street East Toronto practice.,Manual list - 2026-08-08
Moriyama Teshima Architects,https://mtarch.com,,+1 416 925 4484,Canada,Toronto,Architecture,medium,,,cultural;academic;civic,,6,George Street Toronto practice. No general inbox published.,Manual list - 2026-08-08
Zeidler Architecture,https://zeidler.com,,,Canada,Toronto,Architecture,medium,,,mixed-use;healthcare;retail,,5,Sterling Road Toronto practice. No general inbox published.,Manual list - 2026-08-08
office of mcfarlane biggar,https://officemb.ca,communications@officemb.ca,+1 604 558 6344,Canada,Vancouver,Architecture,small,,,full-service;award-winning;kelowna,,8,Quebec Street Vancouver practice with a Kelowna office - award-winning and a close style match.,Manual list - 2026-08-08
Michael Green Architecture,https://mg-architecture.ca,hello@mg-architecture.ca,+1 604 336 4770,Canada,Vancouver,Architecture,small,,,mass-timber;sustainable;wood,,8,"West 3rd Avenue Vancouver practice, internationally known for mass timber, with Victoria and Seville offices; publishes a hello@ inbox and a named new-business contact.",Manual list - 2026-08-08
Acton Ostry Architects,https://www.actonostry.ca,,,Canada,Vancouver,Architecture,small,,,mass-timber;housing;institutional,,7,Vancouver practice behind Brock Commons. No general inbox published.,Manual list - 2026-08-08
Lemay,https://lemay.com,info@lemay.com,+1 514 932 5101,Canada,Montreal,Architecture,large,,,architecture;urban;interior;landscape,,5,"St-Jacques Street Montreal practice trading since 1957, 500+ staff across Canadian and international offices.",Manual list - 2026-08-08
Omar Gandhi Architects,https://omargandhi.com,,,Canada,Halifax,Architecture,small,,,atlantic;timber;craft;residential,,8,"Marginal Road Halifax practice established 2010 with a Toronto studio and, since 2025, Berlin - craft-led residential work and a very close style match. No email published on the site.",Manual list - 2026-08-08
ACDF Architecture,https://acdf.ca,info@acdf.ca,514-456-1151,Canada,Montreal,Architecture,medium,,,montreal;residential;inventive,,6,Montreal practice known for responsible and inventive architecture.,UAE and Kuwait import list - 2026-08-09
Henriquez Partners Architects,https://henriquezpartners.com,nicolettewilliams@henriquezpartners.com,604-687-5681,Canada,Vancouver,Architecture,medium,,,vancouver;civic;named-contact,,5,"Vancouver practice, Top 10 Architizer; named contact for general/media enquiries.",UAE and Kuwait import list - 2026-08-09
